Hybridization REF,TCGA-2F-A9KO,TCGA-2F-A9KP,TCGA-2F-A9KQ,TCGA-2F-A9KR,TCGA-2F-A9KT,TCGA-2F-A9KW,TCGA-4Z-AA7M,TCGA-4Z-AA7N,TCGA-4Z-AA7O,TCGA-4Z-AA7Q,TCGA-4Z-AA7R,TCGA-4Z-AA7S,TCGA-4Z-AA7W,TCGA-4Z-AA7Y,TCGA-4Z-AA80,TCGA-4Z-AA81,TCGA-4Z-AA82,TCGA-4Z-AA83,TCGA-4Z-AA84,TCGA-4Z-AA86
?|100130426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|100133144,20.4373,16.1382,13.3333,15.3523,14.0136,7.1159,22.4891,26.1199,16.6052,0,42.4077,23.2738,0,21.4961,5.753,4.4408,13.3595,33.967,5.6518,6.8497
?|100134869,37.8717,12.5759,10.7742,42.581,17.6427,2.3091,45.049,25.2546,8.665,11.9205,28.3534,13.7922,8.5204,17.5126,14.1017,4.9256,15.1277,24.7789,4.2453,3.8634
?|10357,123.0904,137.886,104.6778,146.4527,142.9621,176.8772,126.3562,97.3321,179.1987,96.9139,316.8758,131.3007,71.6893,175.6815,167.6804,219.4656,196.2868,117.0231,129.9648,115.2695
?|10431,702.0408,882.2305,954.1029,487.2101,954.7767,1586.03,634.5316,642.6318,768.7448,662.2517,779.2612,892.3301,2080.9438,741.1657,1443.5835,1312.3967,1129.666,679.868,1448.6261,1030.1306
?|136542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|155060,406.9971,182.2722,224.8493,472.9642,234.5958,75.4006,520.1525,292.9247,159.601,190.0662,193.1464,795.7754,192.0367,100.5048,133.6562,198.3471,133.1041,320.132,362.5472,128.5571
?|26823,0.5831,0.8323,0,2.3743,0,0,0,1.8026,0,0,0.8901,0.4576,0,0,0,0,0,0,0,0.6696
?|280660,0,0,0,0,0,0,0,0,0,7.2848,43.6137,0,0,0,7.7482,0,0,0,0,0
?|317712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|340602,11.0787,0,0,1.8995,5.0876,0.5236,0,0,0,19.2053,80.5518,0,0.6554,0,2.4213,0,0,0,1.5627,0
?|388795,2.3324,4.5776,0.4636,1.4246,2.2612,1.5708,3.268,1.8026,1.33,3.9735,8.0107,0,1.3108,0.4589,0.9685,1.1019,0,1.9802,13.5434,0.3348
?|390284,4.0816,2.0807,2.318,3.7989,6.2182,5.7598,2.7233,2.7039,3.99,2.649,0.8901,2.7456,0,0.9179,6.7797,2.2039,1.9646,1.3201,1.0418,1.3391
?|391343,0,0,0,0,0,0,1.0893,0,0,1.9868,1.7802,0,0,0,5.8111,0,0,0,1.0418,0
?|391714,0,0.4161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|404770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|441362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|442388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
